price_date,symbol,company_name,open_price,close_price,high_price,low_price,volume
2025-08-05,AAPL,Apple Inc.,203.4,202.92,205.34,202.16,44155079
2025-08-05,AMZN,Amazon.com Inc.,213.05,213.75,216.3,212.87,51505121
2025-08-05,GOOGL,Alphabet Inc.,194.71,194.67,197.86,193.89,31602340
2025-08-05,MSFT,Microsoft Corp.,537.18,527.75,537.3,527.24,19171569
2025-08-05,TSLA,Tesla Inc.,308.95,308.72,312.45,305.5,57961278
2025-08-06,AAPL,Apple Inc.,205.63,213.25,215.38,205.59,108483103
2025-08-06,AMZN,Amazon.com Inc.,214.7,222.31,222.65,213.74,54823045
2025-08-06,GOOGL,Alphabet Inc.,194.5,196.09,196.63,193.67,21562908
2025-08-06,MSFT,Microsoft Corp.,530.9,524.94,531.7,524.03,21355702
2025-08-06,TSLA,Tesla Inc.,307.89,319.91,320.47,306.93,78523579
2025-08-07,AAPL,Apple Inc.,218.88,220.03,220.85,216.58,90224834
2025-08-07,AMZN,Amazon.com Inc.,221.0,223.13,226.22,220.82,40603513
2025-08-07,GOOGL,Alphabet Inc.,197.06,196.52,197.54,194.33,26321811
2025-08-07,MSFT,Microsoft Corp.,526.8,520.84,528.09,517.55,16079144
2025-08-07,TSLA,Tesla Inc.,319.79,322.27,322.4,316.16,66658672
2025-08-08,AAPL,Apple Inc.,220.83,229.35,231.0,219.25,113853967
2025-08-08,AMZN,Amazon.com Inc.,223.14,222.69,223.8,221.88,32970477
2025-08-08,GOOGL,Alphabet Inc.,197.22,201.42,202.61,197.17,39161826
2025-08-08,MSFT,Microsoft Corp.,522.6,522.04,524.66,519.41,15531009
2025-08-08,TSLA,Tesla Inc.,321.43,329.65,335.15,320.98,91200319
2025-08-11,AAPL,Apple Inc.,227.92,227.18,229.56,224.76,61806132
2025-08-11,AMZN,Amazon.com Inc.,221.78,221.3,223.05,220.4,31646222
2025-08-11,GOOGL,Alphabet Inc.,200.94,201.0,201.48,199.07,25832435
2025-08-11,MSFT,Microsoft Corp.,522.3,521.77,527.59,519.72,20194372
